Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,14819.0,14849.349609375,14712.25,14779.0498046875,14215.091796875,23859
2020-01-02,14848.900390625,14852.9501953125,14687.150390625,14729.349609375,14167.287109375,46116
2020-01-03,14750.0,14795.0,14556.099609375,14593.599609375,14036.7177734375,40000
2020-01-06,14542.0,14542.0,14275.0,14416.650390625,13866.521484375,65136
2020-01-07,14423.5498046875,14546.75,14260.849609375,14290.75,13745.42578125,72237
2020-01-08,14191.599609375,14450.0,14120.349609375,14391.25,13842.0908203125,39488
2020-01-09,14495.0,14675.0,14450.0,14643.4501953125,14084.6669921875,55708
2020-01-10,14643.4501953125,14718.900390625,14570.25,14685.849609375,14125.4482421875,39274
2020-01-13,14747.900390625,14747.900390625,14601.0,14658.25,14098.900390625,26990
2020-01-14,14657.900390625,14895.0,14607.0,14868.599609375,14301.224609375,50378
2020-01-15,14828.0,14950.0,14718.849609375,14860.2001953125,14293.1455078125,41468
2020-01-16,14851.0,15398.0,14848.099609375,15354.900390625,14768.9677734375,203208
2020-01-17,15399.0,15600.0,15358.650390625,15439.4501953125,14850.2919921875,96399
2020-01-20,15230.150390625,15479.400390625,15230.150390625,15417.25,14828.9375,68770
2020-01-21,15361.0498046875,15501.599609375,15200.0,15280.75,14697.646484375,63258
2020-01-22,15369.0,15585.0,15301.0,15548.7001953125,14955.3720703125,55627
2020-01-23,15500.0,15625.0,15455.0,15548.849609375,14955.515625,42861
2020-01-24,15600.0,15850.0,15500.150390625,15755.5,15154.2802734375,50632
2020-01-27,15700.0,15845.0,15559.9501953125,15666.0498046875,15068.2451171875,31362
2020-01-28,15664.0,15710.0,15366.7998046875,15416.650390625,14828.3623046875,53107
2020-01-29,15585.0,15899.9501953125,15440.0,15866.75,15261.28515625,64251
2020-01-30,15802.0,15810.849609375,15471.25,15520.7998046875,14928.5380859375,47252
2020-01-31,15560.0,15637.25,15310.2998046875,15359.4501953125,14773.34375,59649
2020-02-03,15589.0,16500.0,15530.0,16301.0,15678.9658203125,203752
2020-02-04,16400.0,16507.900390625,16127.0498046875,16455.599609375,15827.666015625,116416
2020-02-05,16476.0,16481.900390625,16256.0498046875,16384.849609375,15759.615234375,57511
2020-02-06,16399.0,16549.44921875,16157.7998046875,16284.9501953125,15663.5283203125,74084
2020-02-07,16340.0,16385.0,16194.599609375,16327.7998046875,15704.7421875,41407
2020-02-10,16300.0,16373.099609375,16112.0,16172.2001953125,15555.080078125,61270
2020-02-11,16240.0,16300.0498046875,15950.0,15997.150390625,15386.7099609375,73350
2020-02-12,16026.0,16472.599609375,15968.4501953125,16297.7001953125,15675.7919921875,129011
2020-02-13,16328.0,16461.5,16277.349609375,16412.19921875,15785.9208984375,151228
2020-02-14,16500.0,16782.400390625,16250.0,16356.4501953125,15732.298828125,165708
2020-02-17,16413.0,16615.0,16373.0,16588.44921875,15955.4482421875,139788
2020-02-18,16569.900390625,16569.900390625,16385.05078125,16403.849609375,15777.8896484375,90013
