Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2020-01-01,1440.0,1442.0,1422.199951171875,1426.3499755859375,1420.5860595703125,268255,APOLLOHOSP
2020-01-02,1428.0,1509.199951171875,1428.0,1494.6500244140625,1488.610107421875,2000143,APOLLOHOSP
2020-01-03,1494.6500244140625,1505.0,1481.550048828125,1486.0999755859375,1480.094482421875,629443,APOLLOHOSP
2020-01-06,1480.0,1480.0,1458.1500244140625,1462.5,1456.5899658203125,378702,APOLLOHOSP
2020-01-07,1475.0,1498.949951171875,1472.550048828125,1478.699951171875,1472.724365234375,365266,APOLLOHOSP
2020-01-08,1464.0,1479.5999755859375,1458.0,1473.6500244140625,1467.695068359375,190163,APOLLOHOSP
2020-01-09,1490.0,1498.699951171875,1473.0,1479.5999755859375,1473.6209716796875,254798,APOLLOHOSP
2020-01-10,1484.0,1502.0,1476.0,1485.9000244140625,1479.8953857421875,364434,APOLLOHOSP
2020-01-13,1493.300048828125,1504.0,1479.449951171875,1483.449951171875,1477.455322265625,374704,APOLLOHOSP
2020-01-14,1485.0999755859375,1502.0,1483.9000244140625,1493.300048828125,1487.265625,308514,APOLLOHOSP
2020-01-15,1488.300048828125,1529.0,1488.0,1511.949951171875,1505.840087890625,932167,APOLLOHOSP
2020-01-16,1519.699951171875,1607.0,1518.050048828125,1591.550048828125,1585.1185302734375,2305288,APOLLOHOSP
2020-01-17,1595.550048828125,1624.0,1580.0,1618.5999755859375,1612.0592041015625,893254,APOLLOHOSP
2020-01-20,1620.0,1659.0,1616.5,1629.550048828125,1622.9649658203125,1047368,APOLLOHOSP
2020-01-21,1629.8499755859375,1642.5,1621.0,1626.199951171875,1619.62841796875,317357,APOLLOHOSP
2020-01-22,1643.6500244140625,1664.0,1626.5,1634.449951171875,1627.8450927734375,736367,APOLLOHOSP
2020-01-23,1638.800048828125,1699.9000244140625,1631.25,1686.9000244140625,1680.083251953125,764590,APOLLOHOSP
2020-01-24,1690.0,1697.550048828125,1649.0999755859375,1668.699951171875,1661.95654296875,1023849,APOLLOHOSP
2020-01-27,1668.0,1713.0,1662.0,1696.050048828125,1689.1961669921875,791549,APOLLOHOSP
2020-01-28,1695.9000244140625,1704.800048828125,1673.800048828125,1677.75,1670.9700927734375,681671,APOLLOHOSP
2020-01-29,1687.0,1694.949951171875,1671.050048828125,1688.0,1681.1787109375,230705,APOLLOHOSP
2020-01-30,1685.0,1709.75,1680.25,1690.800048828125,1683.9674072265625,634505,APOLLOHOSP
2020-01-31,1699.199951171875,1699.25,1656.449951171875,1660.199951171875,1653.490966796875,377299,APOLLOHOSP
2020-02-03,1616.0,1717.5999755859375,1616.0,1695.8499755859375,1688.9969482421875,584886,APOLLOHOSP
2020-02-04,1695.8499755859375,1704.9000244140625,1661.0,1671.050048828125,1664.2972412109375,384789,APOLLOHOSP
2020-02-05,1681.0,1681.0,1650.0,1657.449951171875,1650.752197265625,438855,APOLLOHOSP
2020-02-06,1665.699951171875,1665.699951171875,1622.199951171875,1645.050048828125,1638.40234375,552992,APOLLOHOSP
2020-02-07,1649.800048828125,1678.5,1628.0,1663.1500244140625,1656.4290771484375,554048,APOLLOHOSP
2020-02-10,1663.0,1701.5999755859375,1634.5,1665.699951171875,1658.96875,778081,APOLLOHOSP
2020-02-11,1670.5,1702.9000244140625,1669.0,1697.949951171875,1691.08837890625,606839,APOLLOHOSP
2020-02-12,1705.0,1716.949951171875,1670.550048828125,1683.5999755859375,1676.7965087890625,728165,APOLLOHOSP
2020-02-13,1675.0,1707.0,1655.0,1695.5,1688.6485595703125,902548,APOLLOHOSP
2020-02-14,1721.0,1747.699951171875,1674.449951171875,1704.4000244140625,1697.512451171875,3179224,APOLLOHOSP
2020-02-17,1727.0,1737.0,1700.0999755859375,1715.050048828125,1708.119384765625,808709,APOLLOHOSP
2020-02-18,1716.0,1784.4000244140625,1704.800048828125,1774.9000244140625,1767.7275390625,1860803,APOLLOHOSP
2020-02-19,1774.9000244140625,1792.5999755859375,1750.699951171875,1780.5,1773.304931640625,1029649,APOLLOHOSP
