Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,766.0,766.7999877929688,760.3499755859375,762.0999755859375,705.708984375,746371
2020-01-02,762.0999755859375,769.1500244140625,761.0,766.0499877929688,709.3666381835938,1133488
2020-01-03,766.0,779.9000244140625,763.5499877929688,775.0999755859375,717.7470703125,2121704
2020-01-06,774.8499755859375,778.7999877929688,768.1500244140625,770.4000244140625,713.3948364257812,1734439
2020-01-07,770.0,778.5,760.5999755859375,777.0999755859375,719.5989990234375,1937143
2020-01-08,770.0999755859375,784.9000244140625,767.0999755859375,769.7999877929688,712.8392333984375,2596664
2020-01-09,770.5,776.4500122070312,762.2000122070312,773.6500244140625,716.4044189453125,1678891
2020-01-10,779.0,781.9000244140625,772.4500122070312,776.25,718.81201171875,1105725
2020-01-13,779.9000244140625,788.7000122070312,775.0499877929688,785.8499755859375,727.7015991210938,1393509
2020-01-14,785.8499755859375,797.7999877929688,783.7000122070312,796.25,737.33203125,1628535
2020-01-15,796.1500244140625,803.6500244140625,788.5,795.1500244140625,736.3135375976562,1759644
2020-01-16,793.0,795.7000122070312,781.0999755859375,782.8499755859375,724.923583984375,1110008
2020-01-17,783.5,786.75,775.5,778.4500122070312,720.84912109375,989312
2020-01-20,778.5,785.4500122070312,774.5499877929688,778.2000122070312,720.6176147460938,1620105
2020-01-21,777.25,783.4000244140625,775.0,778.9000244140625,721.265869140625,976954
2020-01-22,780.0,790.4500122070312,776.2000122070312,778.75,721.126953125,1192201
2020-01-23,777.25,780.4500122070312,766.9000244140625,768.9500122070312,712.0521240234375,2018777
2020-01-24,765.0999755859375,788.75,763.2999877929688,787.2999877929688,729.0443115234375,2364265
2020-01-27,786.0,796.25,779.6500244140625,791.5,732.9334716796875,1175606
2020-01-28,792.5,795.75,784.5999755859375,794.25,735.4801025390625,1506685
2020-01-29,796.9000244140625,807.2000122070312,793.5499877929688,804.1500244140625,744.6475219726562,2565136
2020-01-30,805.5999755859375,807.9500122070312,784.0,791.3499755859375,732.7946166992188,2493688
2020-01-31,796.8499755859375,802.5,783.0,796.5999755859375,737.6561889648438,3081521
2020-02-03,808.0,818.7000122070312,790.5,793.1500244140625,734.4614868164062,3383074
2020-02-04,794.2999877929688,813.0,794.2999877929688,811.0999755859375,751.083251953125,1779834
2020-02-05,810.0,816.0,807.0,814.0499877929688,753.8150024414062,1613898
2020-02-06,812.7000122070312,825.9500122070312,810.0499877929688,817.7000122070312,757.1948852539062,1553656
2020-02-07,817.7000122070312,825.4500122070312,814.25,824.4500122070312,763.4453735351562,1397438
2020-02-10,827.0,827.0999755859375,811.5,813.6500244140625,753.4445190429688,1098971
2020-02-11,813.0,821.8499755859375,811.0499877929688,819.9500122070312,759.2783813476562,1143705
2020-02-12,820.0,826.4500122070312,816.7999877929688,821.5,760.7137451171875,1394424
2020-02-13,822.7999877929688,830.0,814.3499755859375,828.0,766.7327270507812,1737974
2020-02-14,827.0,838.0,825.0499877929688,834.1500244140625,772.4276733398438,2143044
2020-02-17,835.9500122070312,837.0,827.4500122070312,833.25,771.59423828125,793328
2020-02-18,825.3499755859375,840.0,825.3499755859375,838.7999877929688,776.7335815429688,1507814
2020-02-19,839.0,844.8499755859375,836.0499877929688,840.9000244140625,778.67822265625,881874
2020-02-20,840.1500244140625,845.9000244140625,826.9500122070312,829.5999755859375,768.2142944335938,1066232
2020-02-24,828.9500122070312,843.9000244140625,815.75,820.0999755859375,759.4172973632812,2917544
2020-02-25,822.0,826.7999877929688,809.0499877929688,822.0999755859375,761.2692260742188,2479975
2020-02-26,820.0,825.5,808.2000122070312,811.4500122070312,751.4073486328125,2212784
2020-02-27,807.0,819.7000122070312,800.2000122070312,809.1500244140625,749.2775268554688,1907768
2020-02-28,789.7999877929688,808.0,732.0499877929688,744.4000244140625,689.3186645507812,5959364
2020-03-02,742.0,754.4500122070312,734.4000244140625,744.5499877929688,698.8455200195312,3784522
2020-03-03,750.0,757.6500244140625,742.0999755859375,752.2999877929688,706.119873046875,2168900
2020-03-04,754.0,774.8499755859375,748.0,771.2999877929688,723.9535522460938,2685540
2020-03-05,769.9500122070312,784.0,752.3499755859375,756.0999755859375,709.6865234375,2126955
2020-03-06,746.0999755859375,749.75,731.4000244140625,740.4000244140625,694.9503784179688,2004893
2020-03-09,715.0,730.0,696.5499877929688,704.7999877929688,661.5357055664062,3429034
2020-03-11,681.0,713.9000244140625,666.0,708.5499877929688,665.0554809570312,4626185
2020-03-12,676.0,690.0,637.0999755859375,649.8499755859375,609.958740234375,3796919
2020-03-13,603.25,670.0,525.9000244140625,655.9500122070312,615.6843872070312,4553639
2020-03-16,634.7999877929688,634.7999877929688,591.0,603.4000244140625,566.360107421875,6499354
2020-03-17,600.0,617.9500122070312,583.2999877929688,595.4500122070312,558.8981323242188,3333465
2020-03-18,600.0,611.25,570.6500244140625,579.6500244140625,544.0680541992188,3548257
2020-03-19,549.6500244140625,577.6500244140625,523.0,530.0,497.4658508300781,4931298
2020-03-20,525.0999755859375,595.4500122070312,525.0999755859375,576.3499755859375,540.9705810546875,6315992
2020-03-23,540.0,542.0,471.3999938964844,487.20001220703125,457.2931213378906,2912669
2020-03-24,487.0,533.9500122070312,487.0,503.5,472.5924987792969,4082147
2020-03-25,509.0,542.8499755859375,507.04998779296875,526.7000122070312,494.368408203125,3664272
2020-03-26,539.3499755859375,564.9000244140625,513.0,515.2000122070312,483.5743103027344,5979874
2020-03-27,525.0,538.7999877929688,498.0,504.1000061035156,473.15570068359375,4672139
2020-03-30,494.0,532.3499755859375,485.6499938964844,526.7999877929688,494.46221923828125,4138337
2020-03-31,537.0,575.25,527.8499755859375,565.5,530.7866821289062,3652911
2020-04-01,560.0,560.2999877929688,510.0,511.20001220703125,479.81988525390625,4114437
2020-04-03,513.75,533.1500244140625,510.1000061035156,520.9000244140625,488.9244384765625,5826085
2020-04-07,536.5,557.6500244140625,535.75,549.8499755859375,516.0972900390625,3531972
2020-04-08,539.9500122070312,569.7999877929688,537.0,558.9000244140625,524.591796875,4113059
2020-04-09,570.0,582.7000122070312,537.5499877929688,545.25,511.7796936035156,5917001
2020-04-13,551.0,551.0,521.75,526.8499755859375,494.5091552734375,3822640
2020-04-15,528.0,548.5999755859375,528.0,538.6500244140625,505.5848083496094,6316254
2020-04-16,527.0,530.0,508.3500061035156,517.6500244140625,485.8739318847656,7001494
2020-04-17,529.0999755859375,532.0,500.0,509.8500061035156,478.5527038574219,10839705
2020-04-20,517.9500122070312,531.9000244140625,512.0,524.8499755859375,492.6319580078125,4549088
2020-04-21,511.0,520.0,505.8999938964844,512.9500122070312,481.4624328613281,2950307
2020-04-22,512.0,521.9000244140625,507.04998779296875,518.2999877929688,486.4839782714844,2268496
2020-04-23,519.0,527.8499755859375,509.29998779296875,523.7000122070312,491.5525817871094,6094748
2020-04-24,522.0,532.5999755859375,502.1000061035156,503.45001220703125,472.5456237792969,4817852
2020-04-27,511.70001220703125,519.0,506.5,511.70001220703125,480.2891540527344,4032316
2020-04-28,518.0,528.5,515.5499877929688,520.4000244140625,488.45513916015625,4972775
2020-04-29,525.9500122070312,536.9000244140625,522.0999755859375,528.7000122070312,496.24560546875,6361689
